epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
1,2.08844,5.40486,0.36004,1.96454,0.91504,0.99082,0.05574,0.04698,0,0,0,0
2,2.8323,4.89669,0.35868,1.71799,0.91504,0.99082,0.05574,0.04698,0,0.000476239,0.000476239,0.000476239
3,3.46025,2.68458,0.25693,0.95973,0.91504,0.99082,0.05574,0.04698,0,0.000952289,0.000952289,0.000952289
4,4.06135,2.89714,0.26578,1.04508,0.91504,0.99082,0.05574,0.04698,0,0.00142815,0.00142815,0.00142815
5,4.6977,4.5526,0.33535,1.64228,0.91505,0.99088,0.05539,0.04676,0,0.00142787,0.00142787,0.00142787
6,5.30777,3.59066,0.27291,1.24058,0.91505,0.99088,0.05539,0.04676,0,0.00142759,0.00142759,0.00142759
7,5.95616,4.15586,0.31195,1.45659,0.91505,0.99088,0.05539,0.04676,0,0.0014273,0.0014273,0.0014273
8,6.55365,3.08659,0.26989,1.11015,0.91505,0.99088,0.05539,0.04676,0,0.00142702,0.00142702,0.00142702
9,7.13469,2.28505,0.24566,0.82058,0.91528,0.99092,0.05543,0.04665,0,0.00142674,0.00142674,0.00142674
10,7.73748,3.04995,0.27529,1.06057,0.91528,0.99092,0.05543,0.04665,0,0.00142645,0.00142645,0.00142645
11,8.33799,3.74683,0.30658,1.32948,0.91528,0.99092,0.05543,0.04665,0,0.00142617,0.00142617,0.00142617
12,8.96136,4.39426,0.32751,1.51593,0.91528,0.99092,0.05543,0.04665,0,0.00142589,0.00142589,0.00142589
13,9.59936,4.35735,0.30756,1.53474,0.91547,0.99099,0.05558,0.04671,0,0.0014256,0.0014256,0.0014256
14,10.3248,3.07083,0.26144,1.10135,0.91547,0.99099,0.05558,0.04671,0,0.00142532,0.00142532,0.00142532
15,10.9407,4.4043,0.3445,1.56785,0.91547,0.99099,0.05558,0.04671,0,0.00142504,0.00142504,0.00142504
16,11.5715,4.0904,0.28952,1.46729,0.91547,0.99099,0.05558,0.04671,0,0.00142476,0.00142476,0.00142476
17,12.2461,4.87418,0.34007,1.73845,0.94909,0.99417,0.03027,0.03423,0,0.00142447,0.00142447,0.00142447
18,13.1125,0.19428,0.0771,0.07959,0.94909,0.99417,0.03027,0.03423,0,0.00142419,0.00142419,0.00142419
19,14.0092,0.23303,0.10541,0.10129,0.94909,0.99417,0.03027,0.03423,0,0.00142391,0.00142391,0.00142391
20,14.91,0.11584,0.07354,0.06444,0.94909,0.99417,0.03027,0.03423,0,0.00142362,0.00142362,0.00142362
21,15.8271,0.29396,0.24957,0.08266,0.89799,0.96976,0.31616,0.26032,0,0.00142334,0.00142334,0.00142334
22,16.6388,0.07237,0.09579,0.1555,0.89799,0.96976,0.31616,0.26032,0,0.00142306,0.00142306,0.00142306
23,17.4666,0.0501,0.1027,0.12969,0.89799,0.96976,0.31616,0.26032,0,0.00142278,0.00142278,0.00142278
24,18.2594,0.04984,0.10374,0.09675,0.89799,0.96976,0.31616,0.26032,0,0.00142249,0.00142249,0.00142249
25,19.1296,0.04376,0.11381,0.11433,0.83837,0.97069,0.2198,0.10119,0,0.00142221,0.00142221,0.00142221
26,19.9479,0.03682,0.06758,0.02818,0.83837,0.97069,0.2198,0.10119,0,0.00142193,0.00142193,0.00142193
27,20.7687,0.056,0.0982,0.03594,0.83837,0.97069,0.2198,0.10119,0,0.00142164,0.00142164,0.00142164
28,21.6123,0.03562,0.08502,0.02583,0.83837,0.97069,0.2198,0.10119,0,0.00142136,0.00142136,0.00142136
29,22.4191,0.04376,0.09488,0.02709,0.76453,0.91069,1.74228,0.14536,0,0.00142108,0.00142108,0.00142108
30,23.2127,0.01987,0.04073,0.01411,0.76453,0.91069,1.74228,0.14536,0,0.00142079,0.00142079,0.00142079
31,24.0892,0.02522,0.03879,0.01508,0.76453,0.91069,1.74228,0.14536,0,0.00142051,0.00142051,0.00142051
32,25.1066,0.01827,0.04235,0.0141,0.76453,0.91069,1.74228,0.14536,0,0.00142023,0.00142023,0.00142023
33,26.2315,0.02517,0.0675,0.02461,0.73805,0.86453,2.15422,0.17774,0,0.00141995,0.00141995,0.00141995
34,27.0239,0.01535,0.03962,0.01707,0.73805,0.86453,2.15422,0.17774,0,0.00141966,0.00141966,0.00141966
35,28.0951,0.0173,0.08774,0.01856,0.73805,0.86453,2.15422,0.17774,0,0.00141938,0.00141938,0.00141938
36,29.0412,0.01436,0.03208,0.01536,0.73805,0.86453,2.15422,0.17774,0,0.0014191,0.0014191,0.0014191
37,29.866,0.0163,0.0346,0.0134,0.7685,0.90161,0.95098,0.14493,0,0.00141881,0.00141881,0.00141881
38,30.6935,0.02075,0.05855,0.02071,0.7685,0.90161,0.95098,0.14493,0,0.00141853,0.00141853,0.00141853
39,31.6564,0.01587,0.03386,0.0128,0.7685,0.90161,0.95098,0.14493,0,0.00141825,0.00141825,0.00141825
40,32.4671,0.02801,0.04466,0.04129,0.7685,0.90161,0.95098,0.14493,0,0.00141797,0.00141797,0.00141797
41,33.3303,0.01359,0.03348,0.01647,0.8342,0.92864,0.51409,0.10581,0,0.00141768,0.00141768,0.00141768
42,34.1606,0.00989,0.05246,0.01308,0.8342,0.92864,0.51409,0.10581,0,0.0014174,0.0014174,0.0014174
43,34.9938,0.00948,0.02417,0.0104,0.8342,0.92864,0.51409,0.10581,0,0.00141712,0.00141712,0.00141712
44,35.8277,0.01765,0.04,0.0122,0.8342,0.92864,0.51409,0.10581,0,0.00141683,0.00141683,0.00141683
45,36.7498,0.02237,0.03911,0.01418,0.95414,0.99256,0.04031,0.02925,0,0.00141655,0.00141655,0.00141655
46,37.596,0.01084,0.03594,0.01068,0.95414,0.99256,0.04031,0.02925,0,0.00141627,0.00141627,0.00141627
47,39.2501,0.01009,0.02752,0.00834,0.95414,0.99256,0.04031,0.02925,0,0.00141598,0.00141598,0.00141598
48,40.721,0.0096,0.02297,0.00973,0.95414,0.99256,0.04031,0.02925,0,0.0014157,0.0014157,0.0014157
49,41.5833,0.0094,0.01933,0.01147,0.96273,0.9944,0.02625,0.02035,0,0.00141542,0.00141542,0.00141542
50,42.4386,0.00933,0.02016,0.00827,0.96273,0.9944,0.02625,0.02035,0,0.00141514,0.00141514,0.00141514
51,43.2643,0.00926,0.02329,0.00758,0.96273,0.9944,0.02625,0.02035,0,0.00141485,0.00141485,0.00141485
52,44.1099,0.00935,0.01898,0.00792,0.96273,0.9944,0.02625,0.02035,0,0.00141457,0.00141457,0.00141457
53,44.9569,0.00889,0.0222,0.00817,0.96784,0.99514,0.0228,0.01754,0,0.00141429,0.00141429,0.00141429
54,45.7901,0.00842,0.02127,0.00883,0.96784,0.99514,0.0228,0.01754,0,0.001414,0.001414,0.001414
55,46.7141,0.00919,0.01751,0.00744,0.96784,0.99514,0.0228,0.01754,0,0.00141372,0.00141372,0.00141372
56,47.5635,0.00879,0.01909,0.00725,0.96784,0.99514,0.0228,0.01754,0,0.00141344,0.00141344,0.00141344
57,48.4197,0.01168,0.02184,0.00744,0.96762,0.99533,0.02136,0.01805,0,0.00141316,0.00141316,0.00141316
58,49.234,0.00736,0.01901,0.00865,0.96762,0.99533,0.02136,0.01805,0,0.00141287,0.00141287,0.00141287
59,50.0308,0.17929,0.12746,0.10067,0.96762,0.99533,0.02136,0.01805,0,0.00141259,0.00141259,0.00141259
60,50.8418,0.00966,0.02056,0.012,0.96762,0.99533,0.02136,0.01805,0,0.00141231,0.00141231,0.00141231
61,51.6623,0.00867,0.0202,0.00768,0.96199,0.99471,0.02501,0.02073,0,0.00141202,0.00141202,0.00141202
62,52.5151,0.01329,0.02199,0.00993,0.96199,0.99471,0.02501,0.02073,0,0.00141174,0.00141174,0.00141174
63,53.3144,0.03543,0.06887,0.03683,0.96199,0.99471,0.02501,0.02073,0,0.00141146,0.00141146,0.00141146
64,54.1059,0.01518,0.0217,0.0113,0.96199,0.99471,0.02501,0.02073,0,0.00141117,0.00141117,0.00141117
65,54.9323,0.0108,0.02236,0.012,0.96887,0.99491,0.01971,0.01831,0,0.00141089,0.00141089,0.00141089
